engine_type,bypass_ratio,press_ratio,rated_output,ambient_baro,ambient_temp,ambient_humidity,fuel_flow_to
1,8.8,46.5,345.2,98,289.75,0.005305,2.753
1,9.39,35.5,255.3,98.3,296.95,0.01314,1.88
1,9.24,37.5,271.3,98.3,296.95,0.01314,2.023
1,9.01,40.9,298,98.3,296.95,0.01314,2.273
1,8.92,42.2,308.7,98.3,296.95,0.01314,2.376
1,8.81,43.9,321.6,98.3,296.95,0.01314,2.504
1,8.81,43.9,321.6,98.3,296.95,0.01314,2.504
1,8.81,43.9,321.6,98.3,296.95,0.01314,2.504
1,8.65,46.4,341.2,98.3,296.95,0.01314,2.704
1,8.62,47,345.2,98.3,296.95,0.01314,2.746
1,8.59,47.5,349.2,98.3,296.95,0.01314,2.79
1,8.59,47.5,349.2,98.3,296.95,0.01314,2.79
1,8,42.4,299.8,98,289.75,0.005305,2.451
1,8.03,43.55,299.81,98.3,296.95,0.01314,2.453
1,9.39,35.5,255.3,98.3,296.95,0.01314,1.88
1,9.24,37.5,271.3,98.3,296.95,0.01314,2.023
1,9.01,40.9,298,98.3,296.95,0.01314,2.273
1,8.92,42.2,308.7,98.3,296.95,0.01314,2.376
1,8.81,43.9,321.6,98.3,296.95,0.01314,2.504
1,8.81,43.9,321.6,98.3,296.95,0.01314,2.504
1,8.81,43.9,321.6,98.3,296.95,0.01314,2.504
1,8.65,46.4,341.2,98.3,296.95,0.01314,2.704
1,8.62,47,345.2,98.3,296.95,0.01314,2.746
1,8.59,47.5,349.2,98.3,296.95,0.01314,2.79
1,8.59,47.5,349.2,98.3,296.95,0.01314,2.79
1,8.03,43.55,299.81,98.3,296.95,0.01314,2.453
1,9.39,35.5,255.3,98.3,296.95,0.01314,1.88
1,9.24,37.5,271.3,98.3,296.95,0.01314,2.023
1,9.01,40.9,298,98.3,296.95,0.01314,2.273
1,8.92,42.2,308.7,98.3,296.95,0.01314,2.376
1,8.81,43.9,321.6,98.3,296.95,0.01314,2.504
1,8.81,43.9,321.6,98.3,296.95,0.01314,2.504
1,8.81,43.9,321.6,98.3,296.95,0.01314,2.504
1,8.65,46.4,341.2,98.3,296.95,0.01314,2.704
1,8.62,47,345.2,98.3,296.95,0.01314,2.746
1,8.59,47.5,349.2,98.3,296.95,0.01314,2.79
1,8.59,47.5,349.2,98.3,296.95,0.01314,2.79
1,8.03,43.55,299.81,98.3,296.95,0.01314,2.453
2,5.89322,41.3981,84.1599,97.9,289.8,0.0074,0.801186
1,4.2,21.95,30.62,96.97,294,0.0047,0.347
2,4.2,21.95,30.62,97.17,299.5,0.00265,0.347
2,4.2,21.95,30.62,97.015,304.5,0.0069,0.347
2,4.2,22.58,32.86,96.895,308.5,0.008,0.372
2,4.2,22.58,32.86,97.015,304.5,0.0069,0.372
2,4.2,22.88,33,97.015,304.5,0.0069,0.373
2,4.2,21.05,29.4,97.015,304.5,0.0069,0.32
2,4.2,22.3,31.61,97.015,304.5,0.0069,0.349
2,4.2,23.57,33.83,97.015,304.5,0.0069,0.378
2,4.2,23.29,34.03,97.015,304.5,0.0069,0.386
2,4.2,22.88,33,97.015,304.5,0.0069,0.373
2,4.2,22.58,32.86,97.015,304.5,0.0069,0.372
2,4.2,23.29,34.03,97.015,304.5,0.0069,0.386
2,4.2,21.05,29.4,97.015,304.5,0.0069,0.32
2,4.2,22.3,31.61,97.015,304.5,0.0069,0.349
2,4.2,23.57,33.83,97.015,304.5,0.0069,0.378
2,5.3,29.8,111.2,101.3,286,0.0048,1.113
2,4.88,25.6,102.66,101.4,292,0.01,0.971
2,4.9,25.7,102.5,101.615,272.95,0.002495,0.971
2,4.81,26.9,109.06,101.4,292,0.01,1.042
2,4.8,27,108.9,101.615,272.95,0.002495,1.04
2,4.82,27.2,111.2,101.4,292,0.01,1.053
2,4.82,27.2,111.2,101.4,292,0.01,1.053
2,4.8,27.1,110.3,101.615,272.95,0.002495,1.049
2,4.8,27.1,110.3,101.615,272.95,0.002495,1.049
2,4.8,27.1,110.3,101.615,272.95,0.002495,1.049
2,4.82,27.2,111.2,101.4,292,0.01,1.053
2,4.82,27.2,111.2,101.4,292,0.01,1.053
2,4.66,30,124.5,101.4,292,0.01,1.209
2,4.54,32.1,133.4,101.4,292,0.01,1.331
2,4.6,32,133,101.615,272.95,0.002495,1.325
2,4.46,33.44,140.56,101.4,292,0.01,1.426
2,4.5,33.7,140.6,101.615,272.95,0.002495,1.433
2,4.52,32.3,134.8,101.615,272.95,0.002495,1.329
2,4.9,25.7,102.5,101.615,272.95,0.002495,0.971
2,4.8,27,108.9,101.615,272.95,0.002495,1.04
2,4.8,27.1,110.3,101.615,272.95,0.002495,1.049
2,4.8,27.1,110.3,101.615,272.95,0.002495,1.049
2,4.8,27.1,110.3,101.615,272.95,0.002495,1.049
2,4.6,32,133,101.615,272.95,0.002495,1.325
2,4.5,33.7,140.6,101.615,272.95,0.002495,1.433
2,4.52,32.3,134.8,101.615,272.95,0.002495,1.329
2,1.24,10.8,103,102.6,300,0.00876,1.75
2,1.24,10.8,103,102.7,293,0.00905,1.75
2,1.33,13.4,127.53,102.85,290.5,0.00915,2.4
2,1.13,13.2,130.47,102.3,270,0.00238,2.05
2,1.13,13.2,130.47,101.8,279,0.010395,2.05
2,4.44,21.85,69.21,100.845,295.85,0.00975,0.791
2,4.38,22.8,72.67,100.845,295.85,0.00975,0.841
2,4.44,21.85,69.21,100.845,295.85,0.00975,0.791
